,track_uri,artist_uri,genres
970,52Rf9gIgVFdpVUMAJZYySI,4aEpM8RuVFDhH7ry8TUn4M,bebop
970,52Rf9gIgVFdpVUMAJZYySI,4aEpM8RuVFDhH7ry8TUn4M,hard bop
970,52Rf9gIgVFdpVUMAJZYySI,4aEpM8RuVFDhH7ry8TUn4M,stride
971,6U1DM6uo5O27pdDQlXoY6h,4V8LLVI7PbaPR0K2TGSxFF,hip hop
971,6U1DM6uo5O27pdDQlXoY6h,4V8LLVI7PbaPR0K2TGSxFF,rap
972,4W4l0kVDXXG1KqmZAoZuUq,3uPWecBPNXAChysw1uOJwI,avant-garde jazz
972,4W4l0kVDXXG1KqmZAoZuUq,3uPWecBPNXAChysw1uOJwI,experimental
972,4W4l0kVDXXG1KqmZAoZuUq,3uPWecBPNXAChysw1uOJwI,free improvisation
972,4W4l0kVDXXG1KqmZAoZuUq,3uPWecBPNXAChysw1uOJwI,free jazz
972,4W4l0kVDXXG1KqmZAoZuUq,3uPWecBPNXAChysw1uOJwI,japanese jazz
972,4W4l0kVDXXG1KqmZAoZuUq,3uPWecBPNXAChysw1uOJwI,jazz trumpet
972,4W4l0kVDXXG1KqmZAoZuUq,3uPWecBPNXAChysw1uOJwI,spiritual jazz
973,3jjLiYTXT40uXL7KllGzs9,5zfEatKLDdRkgbw6sdLBAQ,afroswing
973,3jjLiYTXT40uXL7KllGzs9,5zfEatKLDdRkgbw6sdLBAQ,london rap
973,3jjLiYTXT40uXL7KllGzs9,5zfEatKLDdRkgbw6sdLBAQ,uk alternative hip hop
973,3jjLiYTXT40uXL7KllGzs9,5zfEatKLDdRkgbw6sdLBAQ,uk hip hop
974,2c2csx4OTYtbkzvbSTXlGY,0Y5tJX1MQlPlqiwlOH1tJY,rap
974,2c2csx4OTYtbkzvbSTXlGY,0Y5tJX1MQlPlqiwlOH1tJY,slap house
975,12oF4FqYEr9dLX0DxqwyXN,0gqIrDRL7CEPBWMmkuZPdQ,afrofuturism
975,12oF4FqYEr9dLX0DxqwyXN,0gqIrDRL7CEPBWMmkuZPdQ,alternative hip hop
975,12oF4FqYEr9dLX0DxqwyXN,0gqIrDRL7CEPBWMmkuZPdQ,east coast hip hop
975,12oF4FqYEr9dLX0DxqwyXN,0gqIrDRL7CEPBWMmkuZPdQ,hardcore hip hop
975,12oF4FqYEr9dLX0DxqwyXN,0gqIrDRL7CEPBWMmkuZPdQ,hip hop
975,12oF4FqYEr9dLX0DxqwyXN,0gqIrDRL7CEPBWMmkuZPdQ,jazz rap
975,12oF4FqYEr9dLX0DxqwyXN,0gqIrDRL7CEPBWMmkuZPdQ,psychedelic hip hop
976,2RlgNHKcydI9sayD2Df2xp,7jefIIksOi1EazgRTfW2Pk,album rock
976,2RlgNHKcydI9sayD2Df2xp,7jefIIksOi1EazgRTfW2Pk,art rock
976,2RlgNHKcydI9sayD2Df2xp,7jefIIksOi1EazgRTfW2Pk,beatlesque
976,2RlgNHKcydI9sayD2Df2xp,7jefIIksOi1EazgRTfW2Pk,classic rock
976,2RlgNHKcydI9sayD2Df2xp,7jefIIksOi1EazgRTfW2Pk,glam rock
976,2RlgNHKcydI9sayD2Df2xp,7jefIIksOi1EazgRTfW2Pk,mellow gold
976,2RlgNHKcydI9sayD2Df2xp,7jefIIksOi1EazgRTfW2Pk,rock
976,2RlgNHKcydI9sayD2Df2xp,7jefIIksOi1EazgRTfW2Pk,soft rock
976,2RlgNHKcydI9sayD2Df2xp,7jefIIksOi1EazgRTfW2Pk,symphonic rock
977,0LSNL5Cz0AJ2q8pXBxqElD,0Ebrkj5o3mRBZPcEWqzrOD,
978,556jf0hyPQuLNHuNWo12I5,41Nu7NgAj9rJxjj7JDuXrV,indian electronic
978,556jf0hyPQuLNHuNWo12I5,41Nu7NgAj9rJxjj7JDuXrV,indian indie
978,556jf0hyPQuLNHuNWo12I5,41Nu7NgAj9rJxjj7JDuXrV,new delhi indie
979,0DSIv9DJruGLaRRLKKgit3,0kEfub5RzlZOB2zGomqVSU,conscious hip hop
979,0DSIv9DJruGLaRRLKKgit3,0kEfub5RzlZOB2zGomqVSU,funk
979,0DSIv9DJruGLaRRLKKgit3,0kEfub5RzlZOB2zGomqVSU,jazz funk
979,0DSIv9DJruGLaRRLKKgit3,0kEfub5RzlZOB2zGomqVSU,political hip hop
979,0DSIv9DJruGLaRRLKKgit3,0kEfub5RzlZOB2zGomqVSU,slam poetry
979,0DSIv9DJruGLaRRLKKgit3,0kEfub5RzlZOB2zGomqVSU,soul
980,6iuDHMCdGLgbACiJ8idowL,3nf2EaHj8HikLNdaiW3v73,alternative hip hop
980,6iuDHMCdGLgbACiJ8idowL,3nf2EaHj8HikLNdaiW3v73,conscious hip hop
980,6iuDHMCdGLgbACiJ8idowL,3nf2EaHj8HikLNdaiW3v73,escape room
980,6iuDHMCdGLgbACiJ8idowL,3nf2EaHj8HikLNdaiW3v73,rap
980,6iuDHMCdGLgbACiJ8idowL,3nf2EaHj8HikLNdaiW3v73,underground hip hop
981,0tVgRzI5iLI6mHQujgSgRk,44ghg2FhJbSGVlTrUiWzya,
982,3qnoOm4fwZPBS116f5hpgF,5K4W6rqBFWDnAN6FQUkS6x,chicago rap
982,3qnoOm4fwZPBS116f5hpgF,5K4W6rqBFWDnAN6FQUkS6x,rap
983,0mVLiXkvvxboxfjJdJiWcd,6I3MElirhT5t6Kf7p0hGk9,alternative r&b
983,0mVLiXkvvxboxfjJdJiWcd,6I3MElirhT5t6Kf7p0hGk9,escape room
983,0mVLiXkvvxboxfjJdJiWcd,6I3MElirhT5t6Kf7p0hGk9,indie r&b
983,0mVLiXkvvxboxfjJdJiWcd,6I3MElirhT5t6Kf7p0hGk9,underground hip hop
983,0mVLiXkvvxboxfjJdJiWcd,6I3MElirhT5t6Kf7p0hGk9,viral rap
984,5cqaG09jwHAyDURuZXViwC,56ZTgzPBDge0OvCGgMO3OY,baltimore indie
984,5cqaG09jwHAyDURuZXViwC,56ZTgzPBDge0OvCGgMO3OY,dream pop
984,5cqaG09jwHAyDURuZXViwC,56ZTgzPBDge0OvCGgMO3OY,dreamo
984,5cqaG09jwHAyDURuZXViwC,56ZTgzPBDge0OvCGgMO3OY,modern dream pop
985,2ed8mlIbQl2C1i8kH5J2uW,5W10uJRsbt9bROJDKoI1Wn,alternative r&b
985,2ed8mlIbQl2C1i8kH5J2uW,5W10uJRsbt9bROJDKoI1Wn,art pop
985,2ed8mlIbQl2C1i8kH5J2uW,5W10uJRsbt9bROJDKoI1Wn,indie soul
985,2ed8mlIbQl2C1i8kH5J2uW,5W10uJRsbt9bROJDKoI1Wn,la pop
986,7ydJQgFuNZU6QKap1So8nn,6dmVUp9TvBREry9O63OFbh,
987,1vvnYpYEMVB4aq9I6tHIEB,6l3HvQ5sa6mXTsMTB19rO5,conscious hip hop
987,1vvnYpYEMVB4aq9I6tHIEB,6l3HvQ5sa6mXTsMTB19rO5,hip hop
987,1vvnYpYEMVB4aq9I6tHIEB,6l3HvQ5sa6mXTsMTB19rO5,north carolina hip hop
987,1vvnYpYEMVB4aq9I6tHIEB,6l3HvQ5sa6mXTsMTB19rO5,rap
988,7vAkKCODYbpF2b6brNLzqo,0ONHkAv9pCAFxb0zJwDNTy,alternative hip hop
988,7vAkKCODYbpF2b6brNLzqo,0ONHkAv9pCAFxb0zJwDNTy,gangster rap
988,7vAkKCODYbpF2b6brNLzqo,0ONHkAv9pCAFxb0zJwDNTy,hip hop
988,7vAkKCODYbpF2b6brNLzqo,0ONHkAv9pCAFxb0zJwDNTy,pop rap
988,7vAkKCODYbpF2b6brNLzqo,0ONHkAv9pCAFxb0zJwDNTy,rap
988,7vAkKCODYbpF2b6brNLzqo,0ONHkAv9pCAFxb0zJwDNTy,southern hip hop
988,7vAkKCODYbpF2b6brNLzqo,0ONHkAv9pCAFxb0zJwDNTy,trap
988,7vAkKCODYbpF2b6brNLzqo,0ONHkAv9pCAFxb0zJwDNTy,underground hip hop
988,7vAkKCODYbpF2b6brNLzqo,0ONHkAv9pCAFxb0zJwDNTy,virginia hip hop
989,6JLFHX7Q4Zo22pIAR9U6R2,4DMSJzGjw2SMkKAT5EEE5u,indie garage rock
989,6JLFHX7Q4Zo22pIAR9U6R2,4DMSJzGjw2SMkKAT5EEE5u,montreal indie
989,6JLFHX7Q4Zo22pIAR9U6R2,4DMSJzGjw2SMkKAT5EEE5u,quebec indie
990,1HQYo8C5L0qd1p5f1anXPS,4Z8W4fKeB5YxbusRsdQVPb,alternative rock
990,1HQYo8C5L0qd1p5f1anXPS,4Z8W4fKeB5YxbusRsdQVPb,art rock
990,1HQYo8C5L0qd1p5f1anXPS,4Z8W4fKeB5YxbusRsdQVPb,melancholia
990,1HQYo8C5L0qd1p5f1anXPS,4Z8W4fKeB5YxbusRsdQVPb,oxford indie
990,1HQYo8C5L0qd1p5f1anXPS,4Z8W4fKeB5YxbusRsdQVPb,permanent wave
990,1HQYo8C5L0qd1p5f1anXPS,4Z8W4fKeB5YxbusRsdQVPb,rock
991,0v60rM2HLSatgUyVZDrLwm,0oSGxfWSnnOXhD2fKuz2Gy,art rock
991,0v60rM2HLSatgUyVZDrLwm,0oSGxfWSnnOXhD2fKuz2Gy,classic rock
991,0v60rM2HLSatgUyVZDrLwm,0oSGxfWSnnOXhD2fKuz2Gy,glam rock
991,0v60rM2HLSatgUyVZDrLwm,0oSGxfWSnnOXhD2fKuz2Gy,permanent wave
991,0v60rM2HLSatgUyVZDrLwm,0oSGxfWSnnOXhD2fKuz2Gy,rock
992,6snYsavG9vq3C7RGN98dst,0Y4inQK6OespitzD6ijMwb,alternative hip hop
992,6snYsavG9vq3C7RGN98dst,0Y4inQK6OespitzD6ijMwb,hip hop
992,6snYsavG9vq3C7RGN98dst,0Y4inQK6OespitzD6ijMwb,indiana hip hop
992,6snYsavG9vq3C7RGN98dst,0Y4inQK6OespitzD6ijMwb,rap
992,6snYsavG9vq3C7RGN98dst,0Y4inQK6OespitzD6ijMwb,southern hip hop
992,6snYsavG9vq3C7RGN98dst,0Y4inQK6OespitzD6ijMwb,underground hip hop
993,6B831m7pLfSqUyaG1uhlmo,1T9AQbQd8Y62SSNHx0zzom,deep psytrance
