track_name,artist_name,album_name,release_date,length,popularity,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
Asshet Akal,Mdou Moctar,Ilana (The Creator),2019-03-29,290741,0,78bBk8oNQm6igOfsyzj88a,0.236,0.265,0.704,0.47,5,0.254,-9.083,0,0.0432,91.094,4
Inizgam,Mdou Moctar,Ilana (The Creator),2019-03-29,84413,0,6aNRfjjSWwGDnLpdJaCRIz,0.159,0.385,0.514,0.361,1,0.238,-9.943,1,0.0291,85.584,4
Anna,Mdou Moctar,Ilana (The Creator),2019-03-29,272995,0,7LR9vrmftgUdbTJPmqZ2Qc,0.275,0.273,0.856,0.865,10,0.129,-9.334,0,0.0479,182.902,3
Takamba,Mdou Moctar,Ilana (The Creator),2019-03-29,169710,0,1UO6H8fg8eQGqKTvVS5abv,0.105,0.453,0.772,0.854,7,0.118,-9.791,0,0.032,89.783,3
Tarhatazed,Mdou Moctar,Ilana (The Creator),2019-03-29,447083,0,0vJFdc2FpnPh8yA0kGfktN,0.0108,0.221,0.698,0.896,0,0.09,-9.733,0,0.0412,106.491,4
Wiwasharnine,Mdou Moctar,Ilana (The Creator),2019-03-29,217846,0,3UI9bI8CJxroo6Wmjr1hJm,0.138,0.42,0.746,0.0345,0,0.451,-9.101,1,0.0309,103.183,4
Ilana,Mdou Moctar,Ilana (The Creator),2019-03-29,285601,0,4OSS9FQW1xcwDQHH77BAxh,0.0118,0.221,0.851,0.807,10,0.349,-7.82,1,0.0639,103.555,1
Tumastin,Mdou Moctar,Ilana (The Creator),2019-03-29,261004,0,6aO872k36VICRDGF9NJZ2p,0.0606,0.393,0.451,0.892,5,0.182,-12.733,1,0.0312,84.328,4
In My Room,Fennesz,Agora,2019-03-29,748080,15,1zwwxOIiSjupqtfdUDh4ot,0.0026,0.0934,0.177,0.878,8,0.116,-16.061,0,0.0391,161.174,4
Rainfall,Fennesz,Agora,2019-03-29,717880,12,1ZtHfYHHkFPxNYRQz4klDW,0.691,0.233,0.809,0.889,9,0.136,-11.008,0,0.0467,94.036,3
Agora,Fennesz,Agora,2019-03-29,729146,18,2Gx0hQE9Yi3pXhGesW5XYQ,0.916,0.0907,0.486,0.877,2,0.294,-18.415,1,0.0537,87.486,4
We Trigger the Sun,Fennesz,Agora,2019-03-29,628893,10,1XT346AwyMaUOk4HRQUlVK,0.175,0.0733,0.265,0.916,8,0.0665,-14.338,0,0.0381,80.968,3
Spongebob,billy woods,Hiding Places,2019-03-29,232946,40,1OPeLwCz1MqeRITVzNy2Qw,0.573,0.704,0.498,0.000295,4,0.108,-11.719,0,0.392,112.307,4
